Área de formação;Pessoas com nível superior completo;Recorte Geográfico;
Educação;3601124;Brasil;
Artes e humanidades;1921753;Brasil;
Ciências sociais,comunicação e informação;1754239;Brasil;
Negócios,administração e direito;8408722;Brasil;
Ciências naturais,matemática e estatística;960347;Brasil;
Computação e TIC;817628;Brasil;
Engenharia, produção e construção;2371066;Brasil;
Agricultura, silvicultura, pesca e veterinária;536708;Brasil;
Saúde e bem-estar;4146840;Brasil;
Serviços;499370;Brasil;
